size,dqm,drm,dqsd,drsd,dql2,drl2
9,-0.35865399,0.13924337,0.571841875,0.020451167,0.148393502,-0.098498248
10,-0.153100803,0.141106812,0.783295281,0.058167333,0.154167905,-0.022462565
11,-0.255721444,0.159897759,1.031393861,0.099898676,0.274029613,0.062287002
12,-0.076024367,0.193775458,1.261620608,0.140817197,0.49013119,0.117457828
13,-0.16769638,0.191678477,1.361097927,0.188899882,0.72546419,0.163094502
14,-0.01309795,0.228452544,1.326390131,0.242439146,0.704313016,0.206633993
15,-0.097877582,0.301038726,1.269439237,0.293923184,0.62051884,0.236274623
16,0.027854653,0.357700729,1.223744337,0.354916811,0.580923727,0.269086673
17,-0.058640419,0.400909344,1.20515031,0.415837025,0.574631291,0.304941303
18,0.050326952,0.418508697,1.226972855,0.480053439,0.584816526,0.344563466
19,-0.009864283,0.445334305,1.278992191,0.483040902,0.627455394,0.333913325
20,0.101076681,0.441279835,1.331583059,0.486941541,0.672190775,0.327463015
21,0.044011659,0.443754352,1.377374507,0.496415416,0.711832415,0.324963404
22,0.142958699,0.438696421,1.404351747,0.504073987,0.747577921,0.32268725
23,0.089569476,0.449434425,1.421886024,0.513796533,0.779513331,0.322614779
24,0.174871159,0.471086494,1.426066688,0.521425296,0.806837171,0.322022859
25,0.126641316,0.499712904,1.427138184,0.532102248,0.82677702,0.322770669
26,0.20057908,0.519201278,1.423150499,0.539521449,0.834923973,0.322238235
27,0.150867891,0.535686004,1.426442104,0.547868793,0.843683751,0.324497193
28,0.228614098,0.537371375,1.419471651,0.563521727,0.849075178,0.328074608
29,0.195470296,0.52609326,1.419549051,0.571447527,0.858894107,0.329921471
30,0.262274995,0.522178672,1.4238246,0.578122767,0.871347979,0.329521317
31,0.231612102,0.509163523,1.423223239,0.589997334,0.881931703,0.333076162
32,0.287123242,0.504860695,1.414104491,0.598356686,0.893124346,0.335053227
33,0.2608237,0.523303791,1.413714957,0.605913935,0.901905881,0.336530018
34,0.31254433,0.537278495,1.408693731,0.617948317,0.911361829,0.339737631
35,0.286442554,0.546245756,1.408662989,0.617677529,0.923414419,0.338000282
36,0.325800683,0.550260776,1.404322908,0.620792667,0.929261431,0.338685836
37,0.311359208,0.539437173,1.400516389,0.625339529,0.935401741,0.337709671
38,0.355019594,0.527344682,1.390768831,0.63247182,0.939168562,0.340182261
39,0.343938002,0.519572577,1.385096944,0.637791167,0.946962469,0.341731322
40,0.380053991,0.508015078,1.382477847,0.638783044,0.95609799,0.340776964
41,0.369938312,0.507174814,1.370762446,0.645408791,0.952070564,0.342726374
42,0.400359023,0.511803683,1.366939527,0.649061272,0.960267605,0.343375383
43,0.391742401,0.510183773,1.364510598,0.64927719,0.96523826,0.341981995
44,0.418343987,0.517543166,1.352319075,0.656131247,0.963195351,0.34581055
45,0.408622651,0.515486425,1.347773615,0.654757087,0.971046755,0.342751109
46,0.436748318,0.513550895,1.344463161,0.658651599,0.977568782,0.344030507
47,0.431616007,0.506912173,1.326712081,0.670664675,0.975805303,0.349151681
48,0.459314609,0.495041162,1.33075916,0.666465439,0.983414585,0.34496857
49,0.456338574,0.484636985,1.323126621,0.668939816,0.984187371,0.345921759
50,0.483079527,0.482127283,1.314010846,0.671314229,0.988493961,0.346280723
51,0.473316378,0.48394989,1.307060184,0.672839244,0.990778863,0.345704034
52,0.496709861,0.486861896,1.303003208,0.675334727,0.992975751,0.345514385
53,0.489463566,0.484617768,1.299551056,0.677212513,0.990097922,0.347268664
54,0.506489866,0.490416603,1.285389683,0.68373514,0.988391018,0.349970153
55,0.505568642,0.488971741,1.285322626,0.684429407,0.996682637,0.348485004
56,0.528022198,0.47970627,1.27925769,0.68802747,0.993484234,0.349561785
57,0.529823105,0.472862395,1.274828853,0.688593284,0.997978842,0.348676593
58,0.545172093,0.468928178,1.262235425,0.689823914,1.000911522,0.349959273
59,0.546019917,0.464577835,1.260154076,0.690753879,0.998800013,0.349105518
60,0.558618905,0.467023539,1.253594787,0.693562247,1.002134277,0.350158174
61,0.553346179,0.466382656,1.249739706,0.696145121,1.002342758,0.350766632
62,0.568136296,0.465354682,1.23373039,0.698711482,1.001966153,0.352425125
63,0.569811242,0.467037831,1.231165199,0.699060559,1.005960404,0.351264731
64,0.587553911,0.46414119,1.22810151,0.701830035,1.003172185,0.352326823
65,0.586010101,0.455845001,1.222204858,0.700193445,1.005254244,0.350805039
66,0.601090745,0.454010926,1.215623911,0.703350885,1.001131026,0.352120809
67,0.602413501,0.450256784,1.21067979,0.706025576,1.001838331,0.353492546
68,0.614757069,0.449052298,1.21193409,0.706470989,1.009806377,0.352597574
69,0.61001221,0.45414998,1.203019095,0.709975532,1.003379866,0.354426701
70,0.623927767,0.454571935,1.1943708,0.712385217,1.006169594,0.354958125
71,0.627273511,0.452620061,1.194080457,0.710415696,1.005543012,0.353783363
72,0.635414908,0.452175739,1.191411505,0.710048329,1.007670953,0.352967321
73,0.638222872,0.450024213,1.18323626,0.712014507,1.005979458,0.353404084
74,0.649895292,0.445162204,1.179813021,0.713470344,1.007060324,0.353597752
75,0.654806125,0.438644259,1.17522232,0.714798367,1.006549184,0.353247347
76,0.664354221,0.44047906,1.170462363,0.713369155,1.007579055,0.353620827
77,0.667561105,0.43464357,1.165925258,0.715106738,1.005051178,0.35354724
78,0.671208638,0.439867186,1.160939141,0.717530518,1.004205167,0.354695536
79,0.673546575,0.441589802,1.15222034,0.718266973,1.000075622,0.35544113
80,0.684730256,0.435271586,1.148854184,0.720779517,1.004808595,0.354755161
81,0.682803102,0.434854816,1.146200147,0.718832918,1.005394156,0.354251424
82,0.688625744,0.436067529,1.139591016,0.721809395,0.999782896,0.355129182
83,0.69039247,0.434099879,1.134095538,0.721892243,0.99929037,0.355954478
84,0.699264397,0.432758359,1.133947341,0.722313934,1.003014903,0.354703302
85,0.705131492,0.429345351,1.127587914,0.724430951,0.99945853,0.356116839
86,0.712393257,0.426522449,1.125900252,0.721026532,1.007673616,0.354337555
87,0.711175657,0.431181678,1.115254758,0.72668473,1.000319179,0.357262391
88,0.716857613,0.427828353,1.113988218,0.724482964,1.004789641,0.355698381
89,0.71985362,0.430099534,1.110511138,0.725729951,0.999954113,0.356411449
90,0.724763063,0.429684638,1.106293288,0.728967621,0.997419549,0.357674721
91,0.731628421,0.431177548,1.103118241,0.734968526,0.997154818,0.359592239
92,0.735446717,0.429196308,1.104041756,0.731378728,1.003005136,0.357371853
93,0.736929115,0.42861321,1.100443605,0.73506511,1.001207475,0.359072087
94,0.745936135,0.425162816,1.097563402,0.735503935,0.998372615,0.358610942
95,0.748824756,0.424364553,1.090219012,0.737589901,0.997638339,0.359766388
96,0.753269189,0.424158691,1.09459385,0.734389877,0.999998599,0.357375502
97,0.75219963,0.426336489,1.083385228,0.737865685,0.994295401,0.359780313
98,0.75884351,0.424015018,1.085956677,0.736329484,1.000357962,0.357817736
99,0.759016478,0.424504288,1.084497963,0.735626996,0.995606455,0.357772286
100,0.770816499,0.42294344,1.079695803,0.736533355,0.995831186,0.358055479
101,0.771103846,0.42190531,1.07404341,0.740803764,0.992981716,0.359091252
102,0.775396444,0.421410664,1.0673087,0.743531954,0.990316507,0.361507645
103,0.777659445,0.418275856,1.071839145,0.738064096,0.994060011,0.358336317
104,0.782617496,0.41794242,1.068428303,0.739018746,0.994290088,0.358562206
105,0.782320804,0.415749438,1.063586837,0.740295091,0.991791729,0.359029231
106,0.789596097,0.417005171,1.061853491,0.740740516,0.993943241,0.358945751
107,0.789601636,0.414239155,1.063494217,0.739338759,0.991178975,0.358490043
108,0.793169815,0.416910275,1.055795223,0.741384474,0.988543444,0.359084094
117,0.811484309,0.412063765,1.036864353,0.74381943,0.980194483,0.35931869
225,0.93248208,0.388761668,0.910420554,0.769658144,0.916840473,0.363402354
333,0.936437544,0.380848732,0.870712995,0.779199834,0.888164798,0.364863911
441,0.91362779,0.377737055,0.845106754,0.783499165,0.866381426,0.365889228
549,0.902361812,0.376461185,0.835619816,0.789202648,0.862757499,0.365868166
657,0.883443952,0.375210704,0.825256324,0.788760013,0.853408903,0.366632963
765,0.873445804,0.375733772,0.81945241,0.790650083,0.849808597,0.366746625
873,0.867313303,0.372066902,0.816415155,0.789912778,0.845957511,0.366598261
981,0.865118333,0.372335899,0.813327155,0.789282147,0.845545402,0.365612416
1089,0.859527877,0.371268489,0.80900926,0.791182452,0.841981205,0.366153062
1197,0.859852693,0.370545193,0.807548602,0.789972695,0.838587387,0.366350843
1305,0.855434595,0.36994516,0.802489061,0.7924121,0.834622328,0.367616361
1413,0.845901028,0.372327263,0.79940304,0.792830014,0.832104319,0.368025088
2493,0.837827458,0.368316619,0.791531424,0.793145679,0.828569721,0.3672725
3573,0.832936627,0.368189362,0.791214444,0.791911576,0.828096871,0.366062125
4653,0.83048192,0.367497068,0.787292114,0.793636491,0.826064378,0.36666996
5400,0.830750366,0.368092005,0.78609163,0.794006982,0.824464716,0.366885946
